id,url,title,subtitle,image,claps,responses,reading_time,publication,date
1,https://towardsdatascience.com/a-beginners-guide-to-word-embedding-with-gensim-word2vec-model-5970fa56cc92,A Beginner’s Guide to Word Embedding with Gensim Word2Vec Model,,1.png,850,8,8,Towards Data Science,2019-05-30
2,https://towardsdatascience.com/hands-on-graph-neural-networks-with-pytorch-pytorch-geometric-359487e221a8,Hands-on Graph Neural Networks with PyTorch & PyTorch Geometric,,2.png,1100,11,9,Towards Data Science,2019-05-30
3,https://towardsdatascience.com/how-to-use-ggplot2-in-python-74ab8adec129,How to Use ggplot2 in Python,A Grammar of Graphics for Python,3.png,767,1,5,Towards Data Science,2019-05-30
4,https://towardsdatascience.com/databricks-how-to-save-files-in-csv-on-your-local-computer-3d0c70e6a9ab,Databricks: How to Save Files in CSV on Your Local Computer,When I work on Python projects dealing…,4.jpeg,354,0,4,Towards Data Science,2019-05-30
5,https://towardsdatascience.com/a-step-by-step-implementation-of-gradient-descent-and-backpropagation-d58bda486110,A Step-by-Step Implementation of Gradient Descent and Backpropagation,One example of building neural…,5.jpeg,211,3,4,Towards Data Science,2019-05-30
6,https://towardsdatascience.com/an-easy-introduction-to-sql-for-data-scientists-83363ae004b9,An Easy Introduction to SQL for Data Scientists,,6.jpeg,563,1,8,Towards Data Science,2019-05-30
7,https://towardsdatascience.com/hypothesis-testing-visualized-6f30b18fc78f,Hypothesis testing visualized,Literally seeing how stat tests work,7.gif,276,1,12,Towards Data Science,2019-05-30
8,https://towardsdatascience.com/introduction-to-latent-matrix-factorization-recommender-systems-8dfc63b94875,Introduction to Latent Matrix Factorization Recommender Systems,,8.png,126,2,5,Towards Data Science,2019-05-30
9,https://towardsdatascience.com/which-2020-candidate-is-the-best-at-twitter-fd083d13fb4e,Which 2020 Candidate is the Best at Twitter?,A Data Analysis of the 2020 Democratic Candidate Twitter Accounts,9.png,188,3,8,Towards Data Science,2019-05-30
10,https://towardsdatascience.com/what-if-ai-model-understanding-were-easy-57ba21163d0e,What if AI model understanding were easy?,See  analytics-for-AI in action in this What-If Tool…,10.jpg,493,2,8,Towards Data Science,2019-05-30
